t;rain;wind_u;wind_v;gust;pstop
2021-01-12 18:00;0;9.14599403391098;1.44858314627254;9.26;0.017987129998897
2021-01-12 19:00;0;8.20995213363835;-0.57409577891415;8.23;0.0167506863093562
2021-01-12 20:00;0;8.22498650636716;0.287222857861582;8.23;0.0158001395840209
2021-01-12 21:00;0;8.73800842910252;0.457939617125763;8.75;0.017361496471861
2021-01-12 22:00;0;8.74466973641709;-0.305370596146878;8.75;0.0183091007607451
2021-01-12 23:00;5.92873307124381e-06;8.75;2.14313189850787e-15;8.75;0.140755827117599
2021-01-13 00:00;0;8.94687878670318;-0.468886048725664;8.959157;0.0193559822039635
2021-01-13 01:00;0;8.14361811455228;-0.569457252436061;8.163504;0.0165289031253493
2021-01-13 02:00;0;7.62354211336797;-0.266219956851549;7.628189;0.0146541913397108
2021-01-13 03:00;5.92873307124381e-06;7.47833307281912;-0.522935990433956;7.4965944;0.123321777554823
2021-01-13 04:00;5.92873307124381e-06;7.50066328760334;-1.05414947926135;7.5743766;0.126648681683378
2021-01-13 05:00;5.92873307124381e-06;6.3359492576653;-0.443052732224385;6.351421;0.111126209905176
2021-01-13 06:00;2.37149322849752e-05;5.81939554246144;-0.611643118198893;5.8514504;0.21830015836697
2021-01-13 07:00;2.37149322849752e-05;4.96982680457813;-0.522349845698042;4.997202;0.215201552172149
2021-01-13 08:00;2.37149322849752e-05;4.46391451092618;-0.46917632096225;4.488503;0.215522182521381
2021-01-13 09:00;2.37149322849752e-05;3.96280385771128;-0.556935761924597;4.0017486;0.218483076946205
2021-01-13 10:00;2.37149322849752e-05;3.78744318233881;-0.331358342203197;3.8019106;0.218162424417626
2021-01-13 11:00;5.92873307124381e-06;3.54705076783985;-0.435523071029527;3.5736885;0.101461448971283
2021-01-13 12:00;1.18574661424876e-05;3.20174755877982;-0.223887999433389;3.2095659;0.149330974379973
2021-01-13 13:00;2.9643665356219e-05;3.02044459234855;-0.26425466063868;3.0319822;0.256950708214549
2021-01-13 14:00;4.15011314987067e-05;2.62381381620379;0.322163827313559;2.6435182;0.314857231788151
2021-01-13 15:00;4.15011314987067e-05;2.25217936871911;0.688560333165627;2.3550854;0.320654973839335
2021-01-13 16:00;4.74298645699505e-05;2.23982957513194;1.14125017106002;2.5138195;0.338809328281895
2021-01-13 17:00;0.000106717195282389;2.54238065286737;2.54238065286737;3.5954692;0.469001630532437
2021-01-13 18:00;0.00012450339449612;2.72691020833429;2.72691020833429;3.8564334;0.4931470036247
2021-01-13 19:00;0.000130432127567364;2.69229082115093;3.57279059250451;4.4736185;0.485309842810273
2021-01-13 20:00;0.000527657243340699;1.766225884378;4.37156246658756;4.714882;0.78142013850665
2021-01-13 21:00;0.000527657243340699;0.934256424023914;4.8063326381583;4.8962913;0.7888580441742
2021-01-13 22:00;0.00054544344255443;0.981364271512856;5.56559335145325;5.6514516;0.770270097233102
2021-01-13 23:00;0.000539514709483186;-0.10503139701273;6.01724470488439;6.0181613;0.775407360545173
2021-01-14 00:00;0.00054544344255443;-0.887226987716303;6.31294804527876;6.374989;0.780592779246845
2021-01-14 01:00;0.000492084844913236;-1.66623430722759;6.21847109188768;6.437835;0.775080693147663
2021-01-14 02:00;0.000385367649630848;-1.64410766180995;6.59415566266756;6.7960267;0.717623959152826
2021-01-14 03:00;0.00049801357798448;-1.89586432905581;6.61166464471201;6.878111;0.768215386841946
2021-01-14 04:00;0.000385367649630848;-1.43667232007335;6.75901185447132;6.9100122;0.710257437004443
2021-01-14 05:00;0.000332009051989653;-1.2999736715226;6.68778477248723;6.812958;0.680949253679477
2021-01-14 06:00;0.000337937785060897;-2.07753392287954;6.39399195236949;6.723041;0.702843861140485
2021-01-14 07:00;0.000332009051989653;-0.87197361585108;6.20441466494468;6.265389;0.688794647509591
2021-01-14 08:00;0.000343866518132141;-0.721489704694521;5.87606209924928;5.9201903;0.703721930016706
2021-01-14 09:00;0.000379438916559604;0.672754239575346;5.47914358799023;5.520291;0.710230073677031
2021-01-14 10:00;0.000503942311055724;0.792169532990967;5.63657911003916;5.691973;0.757613249817981
2021-01-14 11:00;0.000397225115773335;0.3072329713606;5.86235432150848;5.8703995;0.714908102216666
2021-01-14 12:00;0.000385367649630848;0.3149598624075;6.00979218574555;6.0180397;0.704404714658983
2021-01-14 13:00;0.000355723984274628;-0.430469780464527;6.15600466402323;6.171037;0.697180751371922
2021-01-14 14:00;0.000314222852775922;-1.00402590016831;6.33917004796063;6.4181886;0.675545752587009
2021-01-14 15:00;0.000343866518132141;-1.12821081128757e-15;6.1416936;6.1416936;0.683446522567869
2021-01-14 16:00;0.000361652717345872;0.107185105993399;6.14063060975086;6.141566;0.691732704150525
2021-01-14 17:00;0.000343866518132141;0.704082338599104;5.7342904793696;5.777354;0.682076701967276
2021-01-14 18:00;0.000343866518132141;1.51659402543937;5.28899190976009;5.5021353;0.6774109457865
