id,time,Y,Ybar,Ybar_lo,Ybar_hi
0404000S0AAACAC,0,276,220.311682117567,197.137898419447,240.540731648205
0404000S0AAACAC,1,209,223.646035138791,196.89542682044,243.699963858251
0404000S0AAACAC,2,177,225.643207295284,196.616668183362,256.517504288072
0404000S0AAACAC,3,179,226.479931411331,196.301077783904,268.962000016966
0404000S0AAACAC,4,244,226.344515032413,195.948172727318,276.419667768979
0404000S0AAACAC,5,160,225.40049959394,195.55753457469,279.682295194906
0404000S0AAACAC,6,318,223.783923945423,195.128811828401,279.41954051983
0404000S0AAACAC,7,150,221.618780865515,194.661722257567,276.257038802341
0404000S0AAACAC,8,267,219.030110232734,194.156055044258,270.842564873702
0404000S0AAACAC,9,35,216.144176159401,193.587957728224,263.842445313442
0404000S0AAACAC,10,268,213.078789122857,192.325896527447,255.884901650674
0404000S0AAACAC,11,210,209.932567657289,190.293527273316,247.498466371366
0404000S0AAACAC,12,202,206.779305130407,188.155927981917,239.079169196718
0404000S0AAACAC,13,251,203.668387679026,185.997446441966,230.891521770707
0404000S0AAACAC,14,121,200.629031497024,183.818474015505,223.0908889009
0404000S0AAACAC,15,341,197.675708066445,181.619482823017,215.87917422818
0404000S0AAACAC,16,254,194.81308895142,179.401025529001,209.559036886725
0404000S0AAACAC,17,185,192.039868815039,177.163734795006,205.045384985257
0404000S0AAACAC,18,35,189.351441484731,174.908322391776,201.901555729195
0404000S0AAACAC,19,188,186.741648625912,172.635577964231,198.796972047588
0404000S0AAACAC,20,97,184.203859891771,170.346367445264,196.751289508739
0404000S0AAACAC,21,97,181.731602518972,168.041631116632,195.053437751883
0404000S0AAACAC,22,246,179.318900705695,164.666639598812,193.582083126642
0404000S0AAACAC,23,170,176.960434715308,160.985926866007,192.14181580204
0404000S0AAACAC,24,236,174.651592015657,157.452757753819,190.731398075268
0404000S0AAACAC,25,266,172.388456684112,154.103341792311,189.546293720971
0404000S0AAACAC,26,146,170.167765958931,150.916103958128,188.49814528646
0404000S0AAACAC,27,192,167.986851559802,147.872479487136,187.442161256336
0404000S0AAACAC,28,107,165.843576222527,144.872519548353,186.466533975055
0404000S0AAACAC,29,169,163.736271384224,141.718884529823,185.497163388689
0404000S0AAACAC,30,81,161.663679168169,138.639043464254,185.185256542109
0404000S0AAACAC,31,109,159.624900128245,135.624816810297,185.304078677133
0404000S0AAACAC,32,95,157.619347217628,132.669492816641,185.487748130537
0404000S0AAACAC,33,460,155.646705884715,129.767604455624,185.737255945198
0404000S0AAACAC,34,160,153.706899905102,126.914737196082,186.053813535952
0404000S0AAACAC,35,268,151.800062426081,124.107364263596,186.438863294251
0404000S0AAACAC,36,175,149.926511663041,121.342705952342,186.894090407248
0404000S0AAACAC,37,206,148.086730703764,118.618609719031,187.421435990421
0404000S0AAACAC,38,288,146.281350921374,115.933448079558,188.023111644228
0404000S0AAACAC,39,28,144.511138554048,113.286031667497,188.701615557951
0404000S0AAACAC,40,70,142.776984070636,110.675535157084,189.45975029783
0404000S0AAACAC,41,28,141.079894000882,108.101434078296,190.300642432165
0404000S0AAACAC,42,213,139.420984964452,105.563450846445,191.227764163304
0404000S0AAACAC,43,230,137.801479683375,103.061508589136,192.244957155617
0404000S0AAACAC,44,130,136.222704807503,100.595691579263,193.35645876994
0404000S0AAACAC,45,246,134.686090422555,98.1662112758838,194.566930938752
0404000S0AAACAC,46,158,133.193171145628,95.7733771385728,195.910067775971
0404000S0AAACAC,47,187,131.745588744528,93.4175715185423,197.695485541664
0404000S0AAACAC,48,114,130.345096245388,91.0992280449886,199.626466143842
0404000S0AAACAC,49,172,128.993563518653,88.8188130210364,201.711251441132
0404000S0AAACAC,50,NA,127.69298435706,86.517916551108,203.958835233192
0404000S0AAACAC,51,NA,126.445485081436,83.7552695504671,206.379026011991
0404000S0AAACAC,52,NA,125.253334731501,80.987924541377,208.982516109008
0404000S0AAACAC,53,NA,124.118956919821,78.2667313064238,211.780957920701
0404000S0AAACAC,54,NA,123.044943448192,75.5933749758129,214.787047974365
0404000S0AAACAC,55,NA,122.034069807445,72.9694007629789,218.014619686118
0404000S0AAACAC,56,NA,121.089312704375,70.3962135520341,221.478745763447
0404000S0AAACAC,57,NA,120.213869783717,67.875078052991,225.195851318033
0404000S0AAACAC,58,NA,119.411181739212,65.4071195085531,229.183838882073
0404000S0AAACAC,59,NA,118.684957036313,62.9933249328244,233.462226664936
0404000S0AAACAC,60,NA,118.03919950049,60.6345448591286,238.05230154889
