id,time,Y,Ybar,Ybar_lo,Ybar_hi
0404000M0AAAKAK,0,380,248.805454265081,236.141447155343,271.683487823988
0404000M0AAAKAK,1,176,249.827983577107,237.363842325327,269.053044736854
0404000M0AAAKAK,2,120,251.296922716715,234.430761693617,272.245432286952
0404000M0AAAKAK,3,123,253.182209632642,227.558807800039,275.640605621876
0404000M0AAAKAK,4,77,255.460167718855,221.424371541404,279.244476806644
0404000M0AAAKAK,5,167,258.112482284857,216.558267358804,283.063460004345
0404000M0AAAKAK,6,56,261.125388156265,212.862690594825,287.104496804278
0404000M0AAAKAK,7,176,264.48902512768,210.259824716999,291.375083970203
0404000M0AAAKAK,8,56,268.196927775497,208.688975721544,295.883303788584
0404000M0AAAKAK,9,112,272.245623745475,208.104301474871,300.837399664232
0404000M0AAAKAK,10,161,276.63432057466,208.473025759397,306.102055145713
0404000M0AAAKAK,11,204,281.364665779952,209.774052399339,311.602439379351
0404000M0AAAKAK,12,98,286.44056864274,211.996915097146,317.347383380896
0404000M0AAAKAK,13,352,291.86807506769,215.141014765008,323.346420246896
0404000M0AAAKAK,14,352,297.655289270154,219.215109157907,329.631580913591
0404000M0AAAKAK,15,88,303.81233798901,224.237030266056,336.171089638178
0404000M0AAAKAK,16,411,310.351374541033,230.233613812298,343.540109326854
0404000M0AAAKAK,17,144,317.286621419653,237.24083281789,351.621928930999
0404000M0AAAKAK,18,622,324.634451370465,245.304133957386,360.0901960666
0404000M0AAAKAK,19,200,332.413508012369,254.478981666767,368.963267953122
0404000M0AAAKAK,20,238,340.6448681722,264.831620999034,378.260714493919
0404000M0AAAKAK,21,330,349.352249211615,276.440076305355,388.003402845271
0404000M0AAAKAK,22,144,358.562265793218,289.395409203703,398.213589146329
0404000M0AAAKAK,23,816,368.304741801575,303.803266216064,408.915018057927
0404000M0AAAKAK,24,483,378.613084546893,318.35938032926,420.133030823729
0404000M0AAAKAK,25,176,389.524729979844,331.78161561972,431.894682639664
0404000M0AAAKAK,26,806,401.081669484002,346.709492317954,444.228870197908
0404000M0AAAKAK,27,458,413.331070942922,362.272563091477,457.16647036072
0404000M0AAAKAK,28,472,426.326009265398,378.437032876104,470.947377175716
0404000M0AAAKAK,29,592,440.126324469359,395.233869503697,485.448962466834
0404000M0AAAKAK,30,926,454.79962886002,403.480841860374,500.711348086456
0404000M0AAAKAK,31,609,470.422488896071,412.017975998358,516.779653895944
0404000M0AAAKAK,32,640,487.081812143363,420.648282243513,550.063526695183
0404000M0AAAKAK,33,574,504.876475418175,427.747149444817,588.991899424552
0404000M0AAAKAK,34,498,523.919237000106,434.955402805038,632.566944137176
0404000M0AAAKAK,35,460,544.338983862102,442.275030619208,681.427484572576
0404000M0AAAKAK,36,660,566.283374478881,449.708091902669,736.312897144119
0404000M0AAAKAK,37,616,589.92194924332,457.256720311598,798.080010992089
0404000M0AAAKAK,38,243,615.449794213738,464.92312832289,867.723026605716
0404000M0AAAKAK,39,28,643.091860278734,472.709611692685,946.397012681487
0404000M0AAAKAK,40,172,673.108059396331,480.618554214294,1035.44564842634
0404000M0AAAKAK,41,172,705.799282985512,488.652432797977,1136.43400723339
0404000M0AAAKAK,42,288,741.514515598022,496.813822896791,1251.18733182576
0404000M0AAAKAK,43,324,780.659250612785,505.105404304719,1381.83693572918
0404000M0AAAKAK,44,168,823.70545500357,513.529967355393,1530.8745875033
0404000M0AAAKAK,45,150,871.203378594731,522.090419552096,1701.2170000234
0404000M0AAAKAK,46,390,923.795561283659,530.789792662252,1896.28236629746
0404000M0AAAKAK,47,336,982.233461457034,539.631250312412,2120.08126674007
0404000M0AAAKAK,48,543,1047.3972126586,548.618096122801,2377.32473369002
0404000M0AAAKAK,49,392,1120.31911637674,557.753782423821,2673.55281318304
0404000M0AAAKAK,50,NA,1202.21160011368,567.041919600581,3015.28763084033
0404000M0AAAKAK,51,NA,1294.500515912,576.486286115528,3410.21577150445
0404000M0AAAKAK,52,NA,1398.86483037502,586.090839263685,3867.40574914043
0404000M0AAAKAK,53,NA,1517.28396913142,595.859726719843,4397.56750864667
0404000M0AAAKAK,54,NA,1652.09433417627,605.797298942363,5013.36230591229
0404000M0AAAKAK,55,NA,1806.05682067307,615.908122504164,5729.77300677529
0404000M0AAAKAK,56,NA,1982.43753165688,626.196994427879,6564.54689014371
0404000M0AAAKAK,57,NA,2185.10433800939,636.668957609349,7538.72550898246
0404000M0AAAKAK,58,NA,2418.64247330036,647.329317421449,8677.27914432604
0404000M0AAAKAK,59,NA,2688.49300827985,658.18365959895,10009.8669901417
0404000M0AAAKAK,60,NA,3001.11884183458,669.237869514758,11571.7485620308
