id,time,Y,Ybar,Ybar_lo,Ybar_hi
0404000M0BCAEAQ,0,192,229.024537707373,220.417412601345,235.073579056459
0404000M0BCAEAQ,1,298,237.856866088439,229.059399588973,250.681300755142
0404000M0BCAEAQ,2,314,246.973365521866,233.038080746982,278.552366818598
0404000M0BCAEAQ,3,692,256.271412577901,237.145409864171,306.86880507757
0404000M0BCAEAQ,4,183,265.64083166463,241.421419004019,335.023186960091
0404000M0BCAEAQ,5,558,274.971152078981,245.872194111064,362.406400702663
0404000M0BCAEAQ,6,410,284.158525538172,250.504131361152,388.445591209365
0404000M0BCAEAQ,7,344,293.111562687655,255.323951715596,412.636146105437
0404000M0BCAEAQ,8,240,301.75559564695,260.338716211707,434.56501779054
0404000M0BCAEAQ,9,270,310.035155809544,265.55584202133,453.924223261017
0404000M0BCAEAQ,10,210,317.914713414138,270.983119310119,470.514778713764
0404000M0BCAEAQ,11,210,325.377919613845,276.628728931518,484.242394154287
0404000M0BCAEAQ,12,90,332.425707336566,282.501260990586,495.10688887704
0404000M0BCAEAQ,13,240,339.073647492939,288.396856208615,503.18751013106
0404000M0BCAEAQ,14,30,345.348937472753,294.471888835309,508.626229366069
0404000M0BCAEAQ,15,360,351.287339869415,300.775357222944,511.610765884309
0404000M0BCAEAQ,16,240,356.930311034697,307.193809523275,512.35865677817
0404000M0BCAEAQ,17,305,362.322477640359,313.554200460886,511.103244078539
0404000M0BCAEAQ,18,412,367.509546009277,320.074400263453,508.082046127028
0404000M0BCAEAQ,19,338,372.536669654164,326.777425185182,503.527653749388
0404000M0BCAEAQ,20,554,377.447257245022,333.668987078064,497.661053951522
0404000M0BCAEAQ,21,268,382.28217533753,340.754995561841,490.687130300983
0404000M0BCAEAQ,22,480,387.079285257711,348.041565365487,482.792006833336
0404000M0BCAEAQ,23,660,391.873248535313,355.535023959206,474.141874638283
0404000M0BCAEAQ,24,363,396.695537200078,363.241919489079,464.882950689363
0404000M0BCAEAQ,25,210,401.574591477466,371.169029026998,455.142252554163
0404000M0BCAEAQ,26,365,406.536075866894,379.323367149127,445.028918942026
0404000M0BCAEAQ,27,570,411.603193747636,387.49584313414,443.493982205404
0404000M0BCAEAQ,28,450,416.797029533136,395.375950401211,445.440164575958
0404000M0BCAEAQ,29,520,422.136895390201,396.237576218008,450.808085839715
0404000M0BCAEAQ,30,450,427.640666365996,390.958066891351,459.918365786218
0404000M0BCAEAQ,31,665,433.325093343362,386.081963470479,470.181348697921
0404000M0BCAEAQ,32,300,439.206087626402,380.8164625585,480.765372370237
0404000M0BCAEAQ,33,300,445.298974270484,370.011081934043,494.235442818717
0404000M0BCAEAQ,34,767,451.618713673823,359.267705021335,510.628341883977
0404000M0BCAEAQ,35,449,458.180092608085,348.608614626743,527.831847651123
0404000M0BCAEAQ,36,870,464.997886939488,338.052642881927,545.886060047352
0404000M0BCAEAQ,37,684,472.086998918017,327.615840077051,564.833134409398
0404000M0BCAEAQ,38,357,479.462572207399,317.312016265564,584.717381891195
0404000M0BCAEAQ,39,516,487.140087887466,307.153172707883,605.58537465461
0404000M0BCAEAQ,40,270,495.135444558724,297.149839706711,627.486056078413
0404000M0BCAEAQ,41,390,503.465025474031,287.311336303976,650.470856233896
0404000M0BCAEAQ,42,243,512.145755357705,277.645965895026,674.593812889498
0404000M0BCAEAQ,43,201,521.19514927943,268.161160241585,699.911698321509
0404000M0BCAEAQ,44,374,530.631355651479,258.863582752204,726.484152223395
0404000M0BCAEAQ,45,260,540.473195127805,249.759200329564,754.373821022537
0404000M0BCAEAQ,46,492,550.740196912377,240.853331610518,783.646503930263
0404000M0BCAEAQ,47,300,561.452633737196,232.150678078038,814.371306068917
0404000M0BCAEAQ,48,351,572.631556550611,223.655343319472,846.620799038486
0404000M0BCAEAQ,49,361,584.298829764615,215.370844647045,880.471189304879
0404000M0BCAEAQ,50,217,596.477167745075,207.300120381238,916.002494812513
0404000M0BCAEAQ,51,NA,609.190173089819,199.445535317652,953.29873024528
0404000M0BCAEAQ,52,NA,622.462377124273,191.808886242708,992.44810138236
0404000M0BCAEAQ,53,NA,636.319282950405,184.391408820665,1033.54320901877
0404000M0BCAEAQ,54,NA,650.78741130982,177.193786731544,1076.68126294495
0404000M0BCAEAQ,55,NA,665.894349463589,170.216163584008,1121.96430650515
0404000M0BCAEAQ,56,NA,681.668803247419,163.458157847189,1169.49945228106
0404000M0BCAEAQ,57,NA,698.140652429052,156.918880829809,1219.39912947484
0404000M0BCAEAQ,58,NA,715.341009473396,150.596957573564,1271.78134359482
0404000M0BCAEAQ,59,NA,733.302281808044,144.490550411636,1326.76994907723
0404000M0BCAEAQ,60,NA,752.058237676098,138.597384864223,1384.49493550926
