id,time,Y,Ybar,Ybar_lo,Ybar_hi
0403030D0AAACAC,0,183,138.400606896515,125.899248237605,147.761713763024
0403030D0AAACAC,1,332,136.038912464924,126.035183828206,145.422981657543
0403030D0AAACAC,2,67,133.919151899392,126.1854756685,143.429851747135
0403030D0AAACAC,3,211,132.023354435469,125.475361236585,142.285519150466
0403030D0AAACAC,4,149,130.335705831374,122.09407564957,141.196139989931
0403030D0AAACAC,5,117,128.842309506258,118.658424799143,140.160031499198
0403030D0AAACAC,6,70,127.530981143385,115.682902174624,139.177518948217
0403030D0AAACAC,7,132,126.391072100185,113.13326828685,138.339298894873
0403030D0AAACAC,8,126,125.413317713592,110.980148064079,137.542360369065
0403030D0AAACAC,9,84,124.589707214351,109.19850884671,136.785681964816
0403030D0AAACAC,10,75,123.913372489663,107.767219474435,136.068316499641
0403030D0AAACAC,11,168,123.378493377334,106.668679766074,135.968900598645
0403030D0AAACAC,12,74,122.980217550977,105.888511514479,135.934707836316
0403030D0AAACAC,13,112,122.714593376817,105.415303662207,135.906584461864
0403030D0AAACAC,14,154,122.5785143982,105.240405639364,135.884826994352
0403030D0AAACAC,15,49,122.569674342151,105.357763975849,135.880155266367
0403030D0AAACAC,16,414,122.686531750361,105.76379828159,135.943119115809
0403030D0AAACAC,17,14,122.928283520441,106.457313550205,136.012705021895
0403030D0AAACAC,18,58,123.294846807242,107.439446509095,136.08926034827
0403030D0AAACAC,19,39,123.786848882736,108.713644434051,136.173149948573
0403030D0AAACAC,20,58,124.405624690109,110.270449737936,136.264755727217
0403030D0AAACAC,21,218,125.153221956647,112.003987510301,136.364476186299
0403030D0AAACAC,22,237,126.03241385369,114.03247336593,136.472725965987
0403030D0AAACAC,23,120,127.046719313223,116.366708072579,136.766486145563
0403030D0AAACAC,24,138,128.200431232114,118.660035742069,137.129700276273
0403030D0AAACAC,25,248,129.498652919294,120.71888970664,137.494536227929
0403030D0AAACAC,26,132,130.947343270821,122.14713960036,137.861115457643
0403030D0AAACAC,27,150,132.553371295471,123.372037273824,139.400424636586
0403030D0AAACAC,28,146,134.324580762063,124.736273047587,142.632585135411
0403030D0AAACAC,29,266,136.269865902224,126.026817734538,146.548487522929
0403030D0AAACAC,30,250,138.39925928191,127.389604788939,152.258754017781
0403030D0AAACAC,31,146,140.724033155594,128.377287881244,158.671430881521
0403030D0AAACAC,32,120,143.256815842524,128.431416449108,165.733460642946
0403030D0AAACAC,33,107,146.011724919732,128.521126451165,173.50367757343
0403030D0AAACAC,34,146,149.004519316657,128.646517537156,182.04815813337
0403030D0AAACAC,35,142,152.25277272769,128.807725652821,191.441091972968
0403030D0AAACAC,36,116,155.776071138549,129.004922405215,201.765775889771
0403030D0AAACAC,37,132,159.596237698367,129.238314534692,213.115748081328
0403030D0AAACAC,38,238,163.73758867132,129.508143494559,225.59608272806
0403030D0AAACAC,39,268,168.227224780375,129.814685139425,239.324868058969
0403030D0AAACAC,40,271,173.095362924256,130.158249523324,254.434894660996
0403030D0AAACAC,41,56,178.375714021984,130.539180808768,271.075584973716
0403030D0AAACAC,42,91,184.105913634708,130.957857288033,289.415199759921
0403030D0AAACAC,43,116,190.328013052519,131.414691518114,309.643362971455
0403030D0AAACAC,44,28,197.089039738321,131.910130570977,331.97395296893
0403030D0AAACAC,45,208,204.441637419628,132.444656400985,356.648415656792
0403030D0AAACAC,46,14,212.44479774496,133.018786331592,383.939563940928
0403030D0AAACAC,47,229,221.164697312773,133.633073663744,414.155938214719
0403030D0AAACAC,48,174,230.675656082444,134.288108408745,447.646814577682
0403030D0AAACAC,49,NA,241.061235741484,134.984518148697,484.807961477941
0403030D0AAACAC,50,NA,252.415499592819,135.695824381086,526.088261785244
0403030D0AAACAC,51,NA,264.844459013232,136.433006615408,571.997336344268
0403030D0AAACAC,52,NA,278.467735604488,137.214220897134,623.114327297192
0403030D0AAACAC,53,NA,293.420472912501,138.040434511978,680.098025451515
0403030D0AAACAC,54,NA,309.855537145383,138.912663779742,743.698556352163
0403030D0AAACAC,55,NA,327.946052817242,139.831976302841,814.770875259411
0403030D0AAACAC,56,NA,347.888326844745,140.690577332763,894.290362834498
0403030D0AAACAC,57,NA,369.905223520469,141.23627335817,983.370862051314
0403030D0AAACAC,58,NA,394.250063207795,141.811807338385,1083.2855539324
0403030D0AAACAC,59,NA,421.211129814258,142.418398635862,1195.49113662049
0403030D0AAACAC,60,NA,451.116886419225,143.006982478871,1321.65585077686
