id,time,Y,Ybar,Ybar_lo,Ybar_hi
0404000M0BGAEAQ,0,327,375.585723811599,361.117989464025,402.953359775261
0404000M0BGAEAQ,1,268,380.865358420115,366.080646183391,406.219569954502
0404000M0BGAEAQ,2,360,386.139314114922,370.977137138598,409.516503707434
0404000M0BGAEAQ,3,481,391.403221610912,375.497374943254,412.843946940935
0404000M0BGAEAQ,4,238,396.652896638505,380.012086799025,418.358440098824
0404000M0BGAEAQ,5,418,401.884371193522,384.520760620748,423.871013391108
0404000M0BGAEAQ,6,426,407.093922123165,389.022945415795,429.348499814082
0404000M0BGAEAQ,7,301,412.278096632472,393.5182503774,434.784897682522
0404000M0BGAEAQ,8,544,417.4337343746,397.973152790169,440.365969867236
0404000M0BGAEAQ,9,547,422.55798588031,402.371713458662,447.972000183143
0404000M0BGAEAQ,10,536,427.648327182616,406.774377424302,455.43903328139
0404000M0BGAEAQ,11,327,432.702570596438,411.181174403547,462.630085727622
0404000M0BGAEAQ,12,248,437.718871714772,415.592181672075,469.535568229166
0404000M0BGAEAQ,13,176,442.69573277692,420.007523121895,476.147446329754
0404000M0BGAEAQ,14,388,447.63200264624,424.427368299474,482.459226675108
0404000M0BGAEAQ,15,360,452.526873701366,428.851931430083,488.465927019177
0404000M0BGAEAQ,16,208,457.379875993861,433.28147043321,494.164031923221
0404000M0BGAEAQ,17,672,462.19086905634,437.716285933484,499.551436257905
0404000M0BGAEAQ,18,502,466.960031758857,442.156720271234,504.627378681451
0404000M0BGAEAQ,19,270,471.687850609526,446.603156516436,509.392367244258
0404000M0BGAEAQ,20,390,476.375106880391,451.0560174895,513.848099175784
0404000M0BGAEAQ,21,420,481.022862914236,455.51576479202,517.99737675855
0404000M0BGAEAQ,22,536,485.632447935365,459.982897850343,521.844021003181
0404000M0BGAEAQ,23,510,490.205443650119,464.404821146808,525.392784623054
0404000M0BGAEAQ,24,621,494.743669883607,468.776266585541,528.649265581376
0404000M0BGAEAQ,25,461,499.249170459955,473.142782271849,533.982900459622
0404000M0BGAEAQ,26,485,503.724199495886,477.504897525029,539.733484167249
0404000M0BGAEAQ,27,662,508.171208243026,481.060381253607,545.477072020341
0404000M0BGAEAQ,28,630,512.592832583553,484.297358765107,551.222705638611
0404000M0BGAEAQ,29,663,516.991881257293,487.465899578592,556.97956629878
0404000M0BGAEAQ,30,448,521.371324876075,490.56567601437,562.756945022564
0404000M0BGAEAQ,31,723,525.734285763056,493.59639750552,568.815950080305
0404000M0BGAEAQ,32,360,530.084028640516,496.557809686769,575.207513882258
0404000M0BGAEAQ,33,598,534.423952178839,499.375166582654,581.680065785373
0404000M0BGAEAQ,34,514,538.757581411762,502.114967274836,588.243215037125
0404000M0BGAEAQ,35,723,543.088561017801,504.784015295766,594.90670669766
0404000M0BGAEAQ,36,686,547.420649464801,504.901526352219,601.680429883058
0404000M0BGAEAQ,37,874,551.7577140133,504.103202151859,608.574429917118
0404000M0BGAEAQ,38,476,556.103726574453,503.10228369013,615.598924160257
0404000M0BGAEAQ,39,566,560.462760419415,501.905766297618,624.561103104511
0404000M0BGAEAQ,40,153,564.838987738956,500.520827389983,634.266004093211
0404000M0BGAEAQ,41,317,569.236678054596,498.95479016548,644.224131629916
0404000M0BGAEAQ,42,446,573.660197485439,497.215088647812,654.445650978253
0404000M0BGAEAQ,43,357,578.114008878106,495.309234224767,664.941250120641
0404000M0BGAEAQ,44,450,582.602672810681,493.244783808432,675.722171973858
0404000M0BGAEAQ,45,522,587.130849485232,491.029309719007,686.800248984395
0404000M0BGAEAQ,46,448,591.70330152741,488.670371371546,698.187940307189
0404000M0BGAEAQ,47,563,596.324897715744,486.17548882347,709.898371790766
0404000M0BGAEAQ,48,536,601.000617667621,483.552118220653,721.945379013295
0404000M0BGAEAQ,49,255,605.735557513654,480.807629161233,734.343553637802
0404000M0BGAEAQ,50,308,610.534936597192,477.949283979327,747.108293381046
0404000M0BGAEAQ,51,NA,615.404105241219,474.984218935299,760.255855919713
0404000M0BGAEAQ,52,NA,620.348553630927,471.919427285432,773.803417089799
0404000M0BGAEAQ,53,NA,625.373921866837,468.761744191544,787.769133770902
0404000M0BGAEAQ,54,NA,630.486011250721,465.51783342042,802.172211886889
0404000M0BGAEAQ,55,NA,635.690796874652,462.194175773675,817.03297999859
0404000M0BGAEAQ,56,NA,640.994441592599,458.797059180984,832.372969013348
0404000M0BGAEAQ,57,NA,646.403311464048,455.332570383149,848.214998590978
0404000M0BGAEAQ,58,NA,651.923992770393,451.806588126465,864.583270886693
0404000M0BGAEAQ,59,NA,657.563310717441,448.224777785891,881.503472339563
0404000M0BGAEAQ,60,NA,663.328349951394,444.592587331805,899.002884291028
