id,time,Y,Ybar,Ybar_lo,Ybar_hi
0402010ADAAADAD,0,1203,1307.73409527039,1270.71542417918,1370.56401145503
0402010ADAAADAD,1,1467,1324.1322785033,1288.94622596564,1382.9351658432
0402010ADAAADAD,2,1342,1340.70860821096,1304.68626887367,1395.53194173335
0402010ADAAADAD,3,1810,1357.4643398702,1320.60108650518,1408.35800752812
0402010ADAAADAD,4,1347,1374.40090572978,1336.75281192244,1421.41713555206
0402010ADAAADAD,5,1502,1391.5199229557,1353.14607384966,1434.71320265562
0402010ADAAADAD,6,1219,1408.82320016852,1369.7856520242,1448.25019082658
0402010ADAAADAD,7,1664,1426.31274276799,1386.67648358417,1465.16208648281
0402010ADAAADAD,8,931,1443.99075753735,1403.82366973903,1482.45530008489
0402010ADAAADAD,9,1187,1461.85965703836,1421.23248273665,1499.98188480637
0402010ADAAADAD,10,1195,1479.92206425992,1438.67520839948,1520.55455386477
0402010ADAAADAD,11,1534,1498.18081789134,1455.68554533964,1542.44967330801
0402010ADAAADAD,12,1231,1516.63897847941,1472.77458174693,1564.21375724173
0402010ADAAADAD,13,1480,1535.29983561812,1490.32330891577,1585.8356281574
0402010ADAAADAD,14,1483,1554.16691622606,1508.34746486687,1607.30420483207
0402010ADAAADAD,15,1852,1573.24399389493,1526.86343464734,1628.60850390527
0402010ADAAADAD,16,1375,1592.53509924619,1545.88827933339,1649.73764493067
0402010ADAAADAD,17,1391,1612.04453120769,1565.43976632381,1670.68085832958
0402010ADAAADAD,18,1583,1631.77686911341,1585.53640097305,1691.42749562494
0402010ADAAADAD,19,1678,1651.73698553367,1606.19745961382,1711.96704135045
0402010ADAAADAD,20,1960,1671.93005975331,1627.4430240197,1732.28912608592
0402010ADAAADAD,21,2082,1692.36159183017,1649.29401735909,1752.3835401458
0402010ADAAADAD,22,1865,1713.0374171819,1671.77224169242,1772.24024753008
0402010ADAAADAD,23,1950,1733.96372166378,1694.54958957975,1791.84939982586
0402010ADAAADAD,24,1669,1755.14705711438,1716.79235998065,1811.20134981861
0402010ADAAADAD,25,1749,1776.59435735737,1737.35474423025,1830.28666463294
0402010ADAAADAD,26,2120,1798.31295465787,1757.72316156235,1849.0961382722
0402010ADAAADAD,27,1897,1820.31059663981,1777.9399193323,1867.62080346649
0402010ADAAADAD,28,1640,1842.59546367776,1798.54549550018,1885.8519427693
0402010ADAAADAD,29,2180,1865.17618678157,1818.96955052101,1903.78109886686
0402010ADAAADAD,30,2134,1888.06186599714,1838.59063811471,1924.84094127377
0402010ADAAADAD,31,2607,1911.2620893501,1858.1914396906,1948.39287940318
0402010ADAAADAD,32,2335,1934.78695236224,1877.31042300672,1974.4610008491
0402010ADAAADAD,33,2327,1958.64707817359,1896.58738385158,2005.65745340848
0402010ADAAADAD,34,2004,1982.85363830549,1916.0224737764,2038.72851877856
0402010ADAAADAD,35,1932,2007.41837410239,1935.61584242936,2072.88750955496
0402010ADAAADAD,36,1697,2032.35361889271,1955.36763722193,2108.18076457555
0402010ADAAADAD,37,1871,2057.67232091155,1975.27800300226,2144.65662466408
0402010ADAAADAD,38,1841,2083.38806703051,1995.34708173529,2182.36551600111
0402010ADAAADAD,39,1677,2109.51510734282,2015.57501218956,2221.63800004538
0402010ADAAADAD,40,2029,2136.06838065469,2035.96192963053,2262.48194478386
0402010ADAAADAD,41,2466,2163.06354093711,2052.97378562264,2304.75515907142
0402010ADAAADAD,42,1623,2190.51698479544,2069.18824032582,2348.51829732468
0402010ADAAADAD,43,2596,2218.445880018,2085.30172132435,2393.83460151507
0402010ADAAADAD,44,1393,2246.86819526844,2101.31253170873,2440.77000591652
0402010ADAAADAD,45,1752,2275.80273099091,2117.21916467617,2489.39324596837
0402010ADAAADAD,46,1937,2305.26915160159,2133.0203033755,2539.77597147227
0402010ADAAADAD,47,1729,2335.28801904434,2148.71482039827,2591.99286436241
0402010ADAAADAD,48,2756,2365.88082779378,2164.30177693064,2646.12176131071
0402010ADAAADAD,49,2038,2397.07004139382,2179.10345962127,2702.24378145252
0402010ADAAADAD,50,2097,2428.87913062556,2193.27592559307,2760.44345954382
0402010ADAAADAD,51,NA,2461.33261340392,2207.27184960145,2820.80888488753
0402010ADAAADAD,52,NA,2494.45609650879,2217.78105461784,2883.43184639521
0402010ADAAADAD,53,NA,2528.27631926243,2226.70750090782,2948.40798417944
0402010ADAAADAD,54,NA,2562.82119927174,2235.21993035417,3015.83694810322
0402010ADAAADAD,55,NA,2598.11988036053,2243.31791377459,3085.82256374411
0402010ADAAADAD,56,NA,2634.20278282413,2251.00130791538,3158.47300626354
0402010ADAAADAD,57,NA,2671.10165614575,2258.27024997598,3233.90098270472
0402010ADAAADAD,58,NA,2708.84963432147,2265.12515188351,3312.22392327671
0402010ADAAADAD,59,NA,2747.48129394816,2271.56669433699,3393.56418221614
0402010ADAAADAD,60,NA,2787.03271523643,2277.5958206407,3478.04924885287
