time,Y,Ybar,Ybar_lo,Ybar_hi
1,20644,20760.7241162024,19966.1058500241,22175.790081725
2,23901,23189.6793491224,22152.0994254647,24860.9409647293
3,26463,25826.04275786,24691.9932753887,27450.1371440701
4,26172,28615.6330838533,27515.5651615416,30025.8100499237
5,33678,31520.0931901367,30514.8436791928,32749.388795192
6,34384,34517.3610974209,32882.2922757425,36247.2316404372
7,39503,37601.4768016577,34331.7362435804,40359.3304193981
8,36188,40782.0171833821,35365.8150146128,44829.5504611296
9,NA,44083.3900411897,36048.4107823143,49555.3862811208
10,NA,47544.1501276554,36273.3919425643,55300.5161587895
